Algoritmo TamanhoEntrada TempoMedio
BuscaLinear 1 1373
ComparaExtremos 386 1839
BuscaLinear 386 42166
ComparaExtremos 222 1531
BuscaLinear 222 24254
ComparaExtremos 266 1771
BuscaLinear 266 29431
ComparaExtremos 411 1425
BuscaLinear 411 49220
ComparaExtremos 330 4442
BuscaLinear 330 37071
ComparaExtremos 281 1500
BuscaLinear 281 30692
ComparaExtremos 40 1651
BuscaLinear 40 5478
ComparaExtremos 274 2372
BuscaLinear 274 30362
ComparaExtremos 150 1839
BuscaLinear 150 16930
ComparaExtremos 197 1553
BuscaLinear 197 22888
ComparaExtremos 321 1884
BuscaLinear 321 41415
ComparaExtremos 448 1546
BuscaLinear 448 49296
ComparaExtremos 227 1614
BuscaLinear 227 24854
ComparaExtremos 146 3429
BuscaLinear 146 16892
ComparaExtremos 478 1959
BuscaLinear 478 52695
ComparaExtremos 346 1876
BuscaLinear 346 56574
ComparaExtremos 416 2866
BuscaLinear 416 46961
ComparaExtremos 217 3106
BuscaLinear 217 25484
ComparaExtremos 259 2101
BuscaLinear 259 29680
ComparaExtremos 116 2244
BuscaLinear 116 14026
ComparaExtremos 8 2138
BuscaLinear 8 2326
ComparaExtremos 183 1839
BuscaLinear 183 21447
ComparaExtremos 111 1711
BuscaLinear 111 13538
ComparaExtremos 262 1936
BuscaLinear 262 29492
ComparaExtremos 353 2026
BuscaLinear 353 47854
ComparaExtremos 408 3429
BuscaLinear 408 47179
ComparaExtremos 233 2094
BuscaLinear 233 26250
ComparaExtremos 189 2484
BuscaLinear 189 21552
ComparaExtremos 73 1584
BuscaLinear 73 9433
ComparaExtremos 455 1846
BuscaLinear 455 56627
ComparaExtremos 368 3985
BuscaLinear 368 43322
ComparaExtremos 231 2116
BuscaLinear 231 26025
ComparaExtremos 129 2162
BuscaLinear 129 15309
ComparaExtremos 157 2349
BuscaLinear 157 18160
ComparaExtremos 392 2041
BuscaLinear 392 45513
ComparaExtremos 375 2964
BuscaLinear 375 52935
ComparaExtremos 27 2222
BuscaLinear 27 5185
ComparaExtremos 483 2274
BuscaLinear 483 55479
ComparaExtremos 339 2056
BuscaLinear 339 38662
ComparaExtremos 334 1756
