Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 1 130
BuscaLinear 1 128
ComparaExtremos 6532 260
BuscaLinear 6532 40463
ComparaExtremos 1 141
BuscaLinear 1 116
ComparaExtremos 31838 340
BuscaLinear 31838 759907
ComparaExtremos 1 131
BuscaLinear 1 126
ComparaExtremos 17884 358
BuscaLinear 17884 310576
ComparaExtremos 1 127
BuscaLinear 1 118
ComparaExtremos 212 165
BuscaLinear 212 1143
ComparaExtremos 1 119
BuscaLinear 1 116
ComparaExtremos 23759 395
BuscaLinear 23759 495156
ComparaExtremos 1 128
BuscaLinear 1 121
ComparaExtremos 31631 323
BuscaLinear 31631 404776
ComparaExtremos 1 128
BuscaLinear 1 122
ComparaExtremos 7306 262
BuscaLinear 7306 51412
ComparaExtremos 1 135
BuscaLinear 1 116
ComparaExtremos 13756 12761
BuscaLinear 13756 101582
ComparaExtremos 1 172
BuscaLinear 1 119
ComparaExtremos 25276 305
BuscaLinear 25276 283558
ComparaExtremos 1 469
BuscaLinear 1 116
ComparaExtremos 12969 303
BuscaLinear 12969 95390
ComparaExtremos 1 537
BuscaLinear 1 117
ComparaExtremos 4685 231
BuscaLinear 4685 28389
ComparaExtremos 1 113
BuscaLinear 1 114
ComparaExtremos 23896 323
BuscaLinear 23896 485247
ComparaExtremos 1 132
BuscaLinear 1 121
ComparaExtremos 2698 1609
BuscaLinear 2698 16415
ComparaExtremos 1 134
BuscaLinear 1 120
ComparaExtremos 24249 337
BuscaLinear 24249 631201
ComparaExtremos 1 128
BuscaLinear 1 120
ComparaExtremos 13016 297
BuscaLinear 13016 109992
ComparaExtremos 1 151
BuscaLinear 1 126
ComparaExtremos 16011 302
BuscaLinear 16011 139292
ComparaExtremos 1 576
BuscaLinear 1 124
ComparaExtremos 18516 344
BuscaLinear 18516 250751
ComparaExtremos 1 143
BuscaLinear 1 206
ComparaExtremos 12395 322
BuscaLinear 12395 85128
ComparaExtremos 1 131
BuscaLinear 1 115
ComparaExtremos 20261 319
BuscaLinear 20261 207853
ComparaExtremos 1 129
BuscaLinear 1 120
ComparaExtremos 21081 311
BuscaLinear 21081 252143
ComparaExtremos 1 134
BuscaLinear 1 122
ComparaExtremos 23710 307
BuscaLinear 23710 643380
ComparaExtremos 1 141
BuscaLinear 1 133
ComparaExtremos 14718 321
BuscaLinear 14718 142785
ComparaExtremos 1 131
BuscaLinear 1 120
ComparaExtremos 22882 330
BuscaLinear 22882 411006
ComparaExtremos 1 161
BuscaLinear 1 121
ComparaExtremos 11699 315
BuscaLinear 11699 84144
ComparaExtremos 1 137
BuscaLinear 1 550
ComparaExtremos 20174 329
BuscaLinear 20174 183962
ComparaExtremos 1 160
BuscaLinear 1 122
ComparaExtremos 20256 311
BuscaLinear 20256 318971
ComparaExtremos 1 151458
BuscaLinear 1 133
ComparaExtremos 12199 308
BuscaLinear 12199 183959
ComparaExtremos 1 464
BuscaLinear 1 119
ComparaExtremos 2274 196
BuscaLinear 2274 13999
ComparaExtremos 1 102
BuscaLinear 1 114
ComparaExtremos 31063 2532
BuscaLinear 31063 505359
ComparaExtremos 1 165
BuscaLinear 1 122
ComparaExtremos 18570 249
BuscaLinear 18570 196894
ComparaExtremos 1 125
BuscaLinear 1 128
ComparaExtremos 20371 245
BuscaLinear 20371 211057
ComparaExtremos 1 131
BuscaLinear 1 119
ComparaExtremos 9921 215
BuscaLinear 9921 64938
ComparaExtremos 1 137
BuscaLinear 1 113
ComparaExtremos 32234 260
BuscaLinear 32234 543858
ComparaExtremos 1 138
BuscaLinear 1 118
ComparaExtremos 5966 194
BuscaLinear 5966 36210
ComparaExtremos 1 117
BuscaLinear 1 121
ComparaExtremos 10102 249
BuscaLinear 10102 68401
ComparaExtremos 1 123
BuscaLinear 1 132
ComparaExtremos 21746 270
BuscaLinear 21746 233799
ComparaExtremos 1 131
BuscaLinear 1 208
ComparaExtremos 24504 262
BuscaLinear 24504 270113
ComparaExtremos 1 122
BuscaLinear 1 130
ComparaExtremos 20777 276
BuscaLinear 20777 215923
ComparaExtremos 1 127
BuscaLinear 1 121
ComparaExtremos 31552 256
BuscaLinear 31552 354036
ComparaExtremos 1 125
BuscaLinear 1 116
ComparaExtremos 16387 278
BuscaLinear 16387 144135
ComparaExtremos 1 126
BuscaLinear 1 117
