Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 19858 6835
BuscaLinear 19858 1058443
ComparaExtremos 1 2498
BuscaLinear 1 1860
ComparaExtremos 4542 6813
BuscaLinear 4542 156781
ComparaExtremos 1 1411
BuscaLinear 1 1208
ComparaExtremos 7805 5215
BuscaLinear 7805 271516
ComparaExtremos 1 1523
BuscaLinear 1 1193
ComparaExtremos 30006 7293
BuscaLinear 30006 2856757
ComparaExtremos 1 2798
BuscaLinear 1 1890
ComparaExtremos 6532 5079
BuscaLinear 6532 302975
ComparaExtremos 1 2326
BuscaLinear 1 1508
ComparaExtremos 31838 5597
BuscaLinear 31838 1805067
ComparaExtremos 1 3654
BuscaLinear 1 3024
ComparaExtremos 17884 6175
BuscaLinear 17884 893282
ComparaExtremos 1 2529
BuscaLinear 1 1771
ComparaExtremos 212 2431
BuscaLinear 212 6662
ComparaExtremos 1 1290
BuscaLinear 1 4074
ComparaExtremos 23759 6145
BuscaLinear 23759 1288565
ComparaExtremos 1 2858
BuscaLinear 1 1770
ComparaExtremos 31631 6175
BuscaLinear 31631 1794697
ComparaExtremos 1 2761
BuscaLinear 1 1793
ComparaExtremos 7306 4990
BuscaLinear 7306 268004
ComparaExtremos 1 2603
BuscaLinear 1 1508
ComparaExtremos 13756 5883
BuscaLinear 13756 559822
ComparaExtremos 1 2649
BuscaLinear 1 1605
ComparaExtremos 25276 5950
BuscaLinear 25276 1409565
ComparaExtremos 1 2348
BuscaLinear 1 1666
ComparaExtremos 12969 5987
BuscaLinear 12969 500220
ComparaExtremos 1 2611
BuscaLinear 1 1568
ComparaExtremos 4685 6573
BuscaLinear 4685 153607
ComparaExtremos 1 1478
BuscaLinear 1 1223
ComparaExtremos 23896 6280
BuscaLinear 23896 2043306
ComparaExtremos 1 2649
BuscaLinear 1 1770
ComparaExtremos 2698 4119
BuscaLinear 2698 93681
ComparaExtremos 1 1764
BuscaLinear 1 1328
ComparaExtremos 24249 7833
BuscaLinear 24249 1365253
ComparaExtremos 1 2911
BuscaLinear 1 1816
ComparaExtremos 13016 5635
BuscaLinear 13016 497511
ComparaExtremos 1 2888
BuscaLinear 1 1838
ComparaExtremos 16011 6460
BuscaLinear 16011 895135
ComparaExtremos 1 2116
BuscaLinear 1 1778
ComparaExtremos 18516 6318
BuscaLinear 18516 939432
ComparaExtremos 1 2881
BuscaLinear 1 1793
ComparaExtremos 12395 5785
BuscaLinear 12395 487172
ComparaExtremos 1 2461
BuscaLinear 1 1868
ComparaExtremos 20261 6145
BuscaLinear 20261 1129046
ComparaExtremos 1 2018
BuscaLinear 1 1718
ComparaExtremos 21081 6362
BuscaLinear 21081 1211661
ComparaExtremos 1 2754
BuscaLinear 1 1876
ComparaExtremos 23710 6520
BuscaLinear 23710 1251546
ComparaExtremos 1 2266
BuscaLinear 1 1764
ComparaExtremos 14718 5162
BuscaLinear 14718 646857
ComparaExtremos 1 2273
BuscaLinear 1 1583
ComparaExtremos 22882 6558
BuscaLinear 22882 1259222
ComparaExtremos 1 2948
BuscaLinear 1 1883
ComparaExtremos 11699 7540
BuscaLinear 11699 657135
ComparaExtremos 1 2116
BuscaLinear 1 1598
ComparaExtremos 20174 7960
BuscaLinear 20174 1036400
ComparaExtremos 1 2221
BuscaLinear 1 2214
ComparaExtremos 20256 5927
BuscaLinear 20256 5057654
ComparaExtremos 1 2348
BuscaLinear 1 1673
ComparaExtremos 12199 6123
BuscaLinear 12199 452486
ComparaExtremos 1 2318
BuscaLinear 1 1576
ComparaExtremos 2274 2619
BuscaLinear 2274 97658
ComparaExtremos 1 1868
BuscaLinear 1 1208
ComparaExtremos 31063 6617
BuscaLinear 31063 1749357
ComparaExtremos 1 2303
BuscaLinear 1 1853
ComparaExtremos 18570 6258
BuscaLinear 18570 1078109
ComparaExtremos 1 3406
BuscaLinear 1 1711
ComparaExtremos 20371 6182
BuscaLinear 20371 4917473
ComparaExtremos 1 2251
BuscaLinear 1 1936
ComparaExtremos 9921 5740
BuscaLinear 9921 373840
ComparaExtremos 1 2168
BuscaLinear 1 1636
ComparaExtremos 32234 6482
BuscaLinear 32234 2205829
ComparaExtremos 1 2071
BuscaLinear 1 1981
ComparaExtremos 5966 12110
BuscaLinear 5966 222978
ComparaExtremos 1 2094
BuscaLinear 1 1839
ComparaExtremos 10102 5717
BuscaLinear 10102 370546
ComparaExtremos 1 2446
BuscaLinear 1 1478
ComparaExtremos 21746 6438
BuscaLinear 21746 1132127
ComparaExtremos 1 3226
BuscaLinear 1 4051
ComparaExtremos 24504 6100
BuscaLinear 24504 1352284
ComparaExtremos 1 3692
BuscaLinear 1 2558
ComparaExtremos 20777 6670
BuscaLinear 20777 2339508
ComparaExtremos 1 2708
BuscaLinear 1 2176
ComparaExtremos 31552 6070
BuscaLinear 31552 1753877
ComparaExtremos 1 2904
BuscaLinear 1 1771
ComparaExtremos 16387 6010
BuscaLinear 16387 890879
ComparaExtremos 1 2281
BuscaLinear 1 1471
