Algoritmo TamanhoEntrada TempoMedio
BuscaLinear 1 1470
ComparaExtremos 14376 5987
BuscaLinear 14376 631430
ComparaExtremos 1 2183
BuscaLinear 1 1388
ComparaExtremos 29479 6287
BuscaLinear 29479 1625758
ComparaExtremos 1 2326
BuscaLinear 1 1717
ComparaExtremos 19689 9243
BuscaLinear 19689 1094111
ComparaExtremos 1 2791
BuscaLinear 1 3519
ComparaExtremos 6468 4846
BuscaLinear 6468 221517
ComparaExtremos 1 1801
BuscaLinear 1 1605
ComparaExtremos 27752 6744
BuscaLinear 27752 1585479
ComparaExtremos 1 1831
BuscaLinear 1 1935
ComparaExtremos 29084 6151
BuscaLinear 29084 1606905
ComparaExtremos 1 2161
BuscaLinear 1 1853
ComparaExtremos 3723 4816
BuscaLinear 3723 126190
ComparaExtremos 1 1155
BuscaLinear 1 1260
ComparaExtremos 23122 6339
BuscaLinear 23122 1259438
ComparaExtremos 1 1928
BuscaLinear 1 1447
ComparaExtremos 5323 4134
BuscaLinear 5323 176310
ComparaExtremos 1 1133
BuscaLinear 1 1388
ComparaExtremos 3438 3818
BuscaLinear 3438 113324
ComparaExtremos 1 1365
BuscaLinear 1 1403
ComparaExtremos 19476 7562
BuscaLinear 19476 5385700
ComparaExtremos 1 2355
BuscaLinear 1 1703
ComparaExtremos 22320 6384
BuscaLinear 22320 1291584
ComparaExtremos 1 2055
BuscaLinear 1 1733
ComparaExtremos 15961 7907
BuscaLinear 15961 758790
ComparaExtremos 1 1831
BuscaLinear 1 1411
ComparaExtremos 362 4134
BuscaLinear 362 12025
ComparaExtremos 1 2513
BuscaLinear 1 4433
ComparaExtremos 6298 6272
BuscaLinear 6298 222012
ComparaExtremos 1 1801
BuscaLinear 1 1388
ComparaExtremos 4907 3759
BuscaLinear 4907 160346
ComparaExtremos 1 1305
BuscaLinear 1 1471
ComparaExtremos 2766 2799
BuscaLinear 2766 90323
ComparaExtremos 1 1148
BuscaLinear 1 1681
ComparaExtremos 30144 6406
BuscaLinear 30144 1720506
ComparaExtremos 1 2649
BuscaLinear 1 1448
ComparaExtremos 2494 3248
BuscaLinear 2494 80706
ComparaExtremos 1 1006
BuscaLinear 1 1335
ComparaExtremos 17567 6407
BuscaLinear 17567 885745
ComparaExtremos 1 2093
BuscaLinear 1 1440
ComparaExtremos 31065 8102
BuscaLinear 31065 1768609
ComparaExtremos 1 2011
BuscaLinear 1 1470
ComparaExtremos 9384 5454
BuscaLinear 9384 4463683
ComparaExtremos 1 2220
BuscaLinear 1 1516
ComparaExtremos 25169 7164
BuscaLinear 25169 1838797
ComparaExtremos 1 1973
BuscaLinear 1 1568
ComparaExtremos 13906 8012
BuscaLinear 13906 618391
ComparaExtremos 1 2093
BuscaLinear 1 1403
ComparaExtremos 30770 6977
BuscaLinear 30770 1758541
ComparaExtremos 1 2176
BuscaLinear 1 1770
ComparaExtremos 5139 3886
BuscaLinear 5139 174338
ComparaExtremos 1 1148
BuscaLinear 1 1186
ComparaExtremos 573 1778
BuscaLinear 573 18529
ComparaExtremos 1 1021
BuscaLinear 1 1275
ComparaExtremos 13532 6152
BuscaLinear 13532 562554
ComparaExtremos 1 1943
BuscaLinear 1 1455
ComparaExtremos 21634 6316
BuscaLinear 21634 1163144
ComparaExtremos 1 2010
BuscaLinear 1 1366
ComparaExtremos 23166 6549
BuscaLinear 23166 1250931
ComparaExtremos 1 1981
BuscaLinear 1 1388
ComparaExtremos 9414 5971
BuscaLinear 9414 333580
ComparaExtremos 1 2506
BuscaLinear 1 1688
ComparaExtremos 23063 8327
BuscaLinear 23063 1255012
ComparaExtremos 1 1966
BuscaLinear 1 1605
ComparaExtremos 2781 2431
BuscaLinear 2781 87840
ComparaExtremos 1 1208
BuscaLinear 1 1162
ComparaExtremos 28763 6317
BuscaLinear 28763 1595374
ComparaExtremos 1 1988
BuscaLinear 1 1598
ComparaExtremos 23266 6556
BuscaLinear 23266 1359634
ComparaExtremos 1 2146
BuscaLinear 1 1681
ComparaExtremos 14865 6287
BuscaLinear 14865 740973
ComparaExtremos 1 1853
BuscaLinear 1 1448
ComparaExtremos 18245 6631
BuscaLinear 18245 1048589
ComparaExtremos 1 1996
BuscaLinear 1 1433
ComparaExtremos 22419 6414
BuscaLinear 22419 1153706
ComparaExtremos 1 2130
BuscaLinear 1 1717
ComparaExtremos 11564 5934
BuscaLinear 11564 404016
ComparaExtremos 1 1681
BuscaLinear 1 1380
ComparaExtremos 28847 6174
BuscaLinear 28847 1595389
ComparaExtremos 1 2085
BuscaLinear 1 1523
ComparaExtremos 10108 6654
BuscaLinear 10108 365614
ComparaExtremos 1 1650
BuscaLinear 1 1358
ComparaExtremos 30758 6646
BuscaLinear 30758 1726373
ComparaExtremos 1 2258
BuscaLinear 1 1658
ComparaExtremos 10625 5814
BuscaLinear 10625 402973
ComparaExtremos 1 1800
BuscaLinear 1 1335
ComparaExtremos 4648 15941
BuscaLinear 4648 153932
ComparaExtremos 1 1298
BuscaLinear 1 1162
ComparaExtremos 26909 6654
BuscaLinear 26909 1492846
ComparaExtremos 1 2153
BuscaLinear 1 1800
ComparaExtremos 4865 3488
BuscaLinear 4865 163362
ComparaExtremos 1 2393
BuscaLinear 1 4013
ComparaExtremos 13911 7179
BuscaLinear 13911 622022
ComparaExtremos 1 1943
BuscaLinear 1 1583
ComparaExtremos 9536 6497
BuscaLinear 9536 361945
ComparaExtremos 1 2078
BuscaLinear 1 1463
ComparaExtremos 19498 6144
BuscaLinear 19498 1017673
ComparaExtremos 1 2130
BuscaLinear 1 1680
ComparaExtremos 10721 5964
BuscaLinear 10721 399725
ComparaExtremos 1 1778
BuscaLinear 1 1575
