Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 28211 49761
BuscaLinear 28211 16969382
ComparaExtremos 1 4381
BuscaLinear 1 2536
ComparaExtremos 12838 13766
BuscaLinear 12838 4971476
ComparaExtremos 1 3458
BuscaLinear 1 2386
ComparaExtremos 29551 15484
BuscaLinear 29551 7378229
ComparaExtremos 1 3279
BuscaLinear 1 2655
ComparaExtremos 17829 65559
BuscaLinear 17829 2281224
ComparaExtremos 1 2724
BuscaLinear 1 2183
ComparaExtremos 32482 49963
BuscaLinear 32482 3249738
ComparaExtremos 1 2633
BuscaLinear 1 2273
ComparaExtremos 15545 10893
BuscaLinear 15545 2119812
ComparaExtremos 1 2431
BuscaLinear 1 2558
ComparaExtremos 30269 12168
BuscaLinear 30269 7853993
ComparaExtremos 1 3354
BuscaLinear 1 2813
ComparaExtremos 28034 10855
BuscaLinear 28034 1633605
ComparaExtremos 1 2738
BuscaLinear 1 1808
ComparaExtremos 26276 11200
BuscaLinear 26276 6590710
ComparaExtremos 1 2761
BuscaLinear 1 1996
ComparaExtremos 9016 9370
BuscaLinear 9016 323468
ComparaExtremos 1 2423
BuscaLinear 1 1501
ComparaExtremos 4017 11523
BuscaLinear 4017 139896
ComparaExtremos 1 1846
BuscaLinear 1 1440
ComparaExtremos 18260 10578
BuscaLinear 18260 5059860
ComparaExtremos 1 2768
BuscaLinear 1 1921
ComparaExtremos 28935 15604
BuscaLinear 28935 1617910
ComparaExtremos 1 11575
BuscaLinear 1 1680
ComparaExtremos 5585 9100
BuscaLinear 5585 194037
ComparaExtremos 1 1650
BuscaLinear 1 1448
ComparaExtremos 10251 56759
BuscaLinear 10251 11096261
ComparaExtremos 1 28222
BuscaLinear 1 24568
ComparaExtremos 2510 10151
BuscaLinear 2510 88717
ComparaExtremos 1 88793
BuscaLinear 1 1681
ComparaExtremos 28182 10690
BuscaLinear 28182 1655502
ComparaExtremos 1 3113
BuscaLinear 1 1666
ComparaExtremos 10006 9408
BuscaLinear 10006 362906
ComparaExtremos 1 3316
BuscaLinear 1 1583
ComparaExtremos 32531 11365
BuscaLinear 32531 1837372
ComparaExtremos 1 2588
BuscaLinear 1 1673
ComparaExtremos 15600 10728
BuscaLinear 15600 705713
ComparaExtremos 1 3428
BuscaLinear 1 1688
ComparaExtremos 2236 4764
BuscaLinear 2236 73181
ComparaExtremos 1 1688
BuscaLinear 1 1365
ComparaExtremos 15094 11028
BuscaLinear 15094 703126
ComparaExtremos 1 2874
BuscaLinear 1 4343
ComparaExtremos 16165 10577
BuscaLinear 16165 750125
ComparaExtremos 1 2694
BuscaLinear 1 1493
ComparaExtremos 11258 9370
BuscaLinear 11258 496485
ComparaExtremos 1 3008
BuscaLinear 1 1478
ComparaExtremos 1791 4651
BuscaLinear 1791 57300
ComparaExtremos 1 1627
BuscaLinear 1 1343
ComparaExtremos 14334 9910
BuscaLinear 14334 4752214
ComparaExtremos 1 5664
BuscaLinear 1 1943
ComparaExtremos 14734 10391
BuscaLinear 14734 665285
ComparaExtremos 1 2528
BuscaLinear 1 1613
ComparaExtremos 29350 10450
BuscaLinear 29350 1626072
ComparaExtremos 1 3879
BuscaLinear 1 1696
ComparaExtremos 22657 10983
BuscaLinear 22657 1182003
ComparaExtremos 1 3105
BuscaLinear 1 1553
ComparaExtremos 10397 2211672
BuscaLinear 10397 401151
ComparaExtremos 1 2754
BuscaLinear 1 1928
ComparaExtremos 6687 5904
BuscaLinear 6687 235635
ComparaExtremos 1 1913
BuscaLinear 1 1546
ComparaExtremos 23446 7854
BuscaLinear 23446 5488205
ComparaExtremos 1 3128
BuscaLinear 1 4224
ComparaExtremos 8043 7119
BuscaLinear 8043 286483
ComparaExtremos 1 2513
BuscaLinear 1 1471
ComparaExtremos 9138 7262
BuscaLinear 9138 372133
ComparaExtremos 1 3136
BuscaLinear 1 1538
ComparaExtremos 20998 9167
BuscaLinear 20998 9295387
ComparaExtremos 1 2753
BuscaLinear 1 1748
ComparaExtremos 29645 9370
BuscaLinear 29645 1639523
ComparaExtremos 1 3061
BuscaLinear 1 1702
ComparaExtremos 25072 9129
BuscaLinear 25072 1446160
ComparaExtremos 1 4539
BuscaLinear 1 2108
ComparaExtremos 17438 9400
BuscaLinear 17438 868685
ComparaExtremos 1 2544
BuscaLinear 1 1568
ComparaExtremos 11923 714003
BuscaLinear 11923 483198
ComparaExtremos 1 1696
BuscaLinear 1 1523
ComparaExtremos 8853 5799
BuscaLinear 8853 310242
ComparaExtremos 1 1733
BuscaLinear 1 1613
ComparaExtremos 9281 6834
BuscaLinear 9281 4484875
ComparaExtremos 1 2348
BuscaLinear 1 1358
ComparaExtremos 1207 2258
BuscaLinear 1207 39693
ComparaExtremos 1 1072
BuscaLinear 1 1222
ComparaExtremos 2194 3098
BuscaLinear 2194 70158
ComparaExtremos 1 1005
BuscaLinear 1 1252
ComparaExtremos 24853 6572
BuscaLinear 24853 1345635
ComparaExtremos 1 2018
BuscaLinear 1 1726
ComparaExtremos 28800 6737
BuscaLinear 28800 1770746
ComparaExtremos 1 1718
BuscaLinear 1 1583
ComparaExtremos 9200 5784
BuscaLinear 9200 335388
ComparaExtremos 1 1516
BuscaLinear 1 1380
ComparaExtremos 24111 6886
BuscaLinear 24111 1496446
ComparaExtremos 1 14681
BuscaLinear 1 1635
ComparaExtremos 20141 6699
BuscaLinear 20141 1611218
ComparaExtremos 1 2400
BuscaLinear 1 1748
ComparaExtremos 20106 6512
BuscaLinear 20106 1056804
ComparaExtremos 1 1943
BuscaLinear 1 1500
ComparaExtremos 9295 5402
BuscaLinear 9295 326019
ComparaExtremos 1 2445
