Algoritmo TamanhoEntrada TempoMedio
BuscaLinear 1 20
ComparaExtremos 6532 22
BuscaLinear 6532 39515
ComparaExtremos 1 21
BuscaLinear 1 20
ComparaExtremos 31838 23
BuscaLinear 31838 387282
ComparaExtremos 1 21
BuscaLinear 1 20
ComparaExtremos 17884 24
BuscaLinear 17884 165685
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 212 20
BuscaLinear 212 839
ComparaExtremos 1 20
BuscaLinear 1 39
ComparaExtremos 23759 22
BuscaLinear 23759 272326
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 31631 24
BuscaLinear 31631 356017
ComparaExtremos 1 20
BuscaLinear 1 20
ComparaExtremos 7306 23
BuscaLinear 7306 43912
ComparaExtremos 1 20
BuscaLinear 1 20
ComparaExtremos 13756 23
BuscaLinear 13756 116611
ComparaExtremos 1 21
BuscaLinear 1 20
ComparaExtremos 25276 24
BuscaLinear 25276 269543
ComparaExtremos 1 22
BuscaLinear 1 20
ComparaExtremos 12969 23
BuscaLinear 12969 94922
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 4685 22
BuscaLinear 4685 28831
ComparaExtremos 1 61
BuscaLinear 1 20
ComparaExtremos 23896 24
BuscaLinear 23896 651955
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 2698 22
BuscaLinear 2698 16354
ComparaExtremos 1 19
BuscaLinear 1 18
ComparaExtremos 24249 23
BuscaLinear 24249 243280
ComparaExtremos 1 20
BuscaLinear 1 21
ComparaExtremos 13016 23
BuscaLinear 13016 83105
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 16011 24
BuscaLinear 16011 141609
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 18516 24
BuscaLinear 18516 184951
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 12395 24
BuscaLinear 12395 90907
ComparaExtremos 1 56
BuscaLinear 1 19
ComparaExtremos 20261 23
BuscaLinear 20261 205273
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 21081 26
BuscaLinear 21081 214824
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 23710 24
BuscaLinear 23710 251061
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 14718 23
BuscaLinear 14718 108727
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 22882 25
BuscaLinear 22882 245280
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 11699 25
BuscaLinear 11699 74952
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 20174 23
BuscaLinear 20174 328364
ComparaExtremos 1 21
BuscaLinear 1 19
ComparaExtremos 20256 24
BuscaLinear 20256 281335
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 12199 22
BuscaLinear 12199 73090
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 2274 21
BuscaLinear 2274 13758
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 31063 23
BuscaLinear 31063 337204
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 18570 25
BuscaLinear 18570 174390
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 20371 23
BuscaLinear 20371 200751
ComparaExtremos 1 21
BuscaLinear 1 19
ComparaExtremos 9921 7050
BuscaLinear 9921 116195
ComparaExtremos 1 21
BuscaLinear 1 19
ComparaExtremos 32234 24
BuscaLinear 32234 545091
ComparaExtremos 1 20
BuscaLinear 1 20
ComparaExtremos 5966 21
BuscaLinear 5966 35067
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 10102 22
BuscaLinear 10102 60519
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 21746 23
BuscaLinear 21746 223274
ComparaExtremos 1 20
BuscaLinear 1 21
ComparaExtremos 24504 23
BuscaLinear 24504 264639
ComparaExtremos 1 20
BuscaLinear 1 19
ComparaExtremos 20777 24
BuscaLinear 20777 214699
ComparaExtremos 1 21
BuscaLinear 1 357
ComparaExtremos 31552 86
BuscaLinear 31552 350277
ComparaExtremos 1 72
BuscaLinear 1 166
ComparaExtremos 16387 1
BuscaLinear 16387 136209
ComparaExtremos 1 0
BuscaLinear 1 8
